ano_emissao,mes_emissao,uf,municipio,tipo,status,abrangencia,especie_arma,marca_arma,calibre_arma,sexo,total
2025,1,ES,SERRA                              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,ES,SERRA                              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,ES,SERRA                              ,Defesa Pessoal         ,Vencido       ,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,ES,SERRA                              ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,2
2025,1,ES,SERRA                              ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,ES,VIANA                              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,ES,VILA VELHA                         ,Funcional              ,Ativo - V�lido,Nacional  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,ES,VIT�RIA                            ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,ES,VIT�RIA                            ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,ES,VIT�RIA                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,2
2025,1,ES,VIT�RIA                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,3
2025,1,GO,ALEX�NIA                           ,Defesa Pessoal         ,Cancelado     ,Regional  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,GO,ANICUNS                            ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,M,1
2025,1,GO,AN�POLIS                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,GO,AN�POLIS                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,GO,AN�POLIS                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,4
2025,1,GO,AN�POLIS                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38 SPL                                           ,M,1
