MARCA_ARMA
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
                                                                      
TAURUS ARMAS S.A.                                                     
CZ (CESKOSLOVENSKA ZBROJOVKA)                                         
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
                                                                      
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
GLOCK GMBH (�USTRIA)                                                  
IMBEL                                                                 
GLOCK GMBH (�USTRIA)                                                  
                                                                      
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
IMBEL                                                                 
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
                                                                      
                                                                      
IMBEL                                                                 
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
                                                                      
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
                                                                      
GLOCK GMBH (�USTRIA)                                                  
IMBEL                                                                 
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
                                                                      
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
                                                                      
GLOCK GMBH (�USTRIA)                                                  
                                                                      
                                                                      
                                                                      
GLOCK GMBH (�USTRIA)                                                  
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
ALFA-PROJ (SPOL S.R.O.)                                               
                                                                      
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
GLOCK GMBH (�USTRIA)                                                  
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
GLOCK GMBH (�USTRIA)                                                  
                                                                      
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
ROSSI (AMADEO ROSSI S.A.)                                             
TAURUS ARMAS S.A.                                                     
                                                                      
GLOCK GMBH (�USTRIA)                                                  
                                                                      
GLOCK GMBH (�USTRIA)                                                  
TAURUS ARMAS S.A.                                                     
                                                                      
GLOCK GMBH (�USTRIA)                                                  
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
TAURUS ARMAS S.A.                                                     
TAURUS ARMAS S.A.                                                     
                                                                      
TAURUS ARMAS S.A.                                                     
