TOTAL
1
1
1
1
2
1
4
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
1
1
1
1
2
1
1
1
1
1
1
1
2
1
1
1
1
2
1
1
1
1
1
2
3
1
1
1
1
4
1
1
1
4
1
1
1
1
1
1
1
2
1
1
1
2
4
1
1
1
1
1
1
1
3
5
1
1
5
1
1
1
1
1
1
1
1
1
1
1
1
1
1
7
19
1
1
1
1
1
1
1
3
11
1
1
1
1
1
1
1
1
8
1
1
1
8
1
1
1
1
1
1
2
1
3
6
1
1
1
1
1
1
1
2
1
4
1
1
1
1
3
7
2
1
1
1
1
7
1
1
1
2
1
1
2
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
9
1
3
1
1
1
1
1
2
1
1
1
1
1
1
2
1
1
1
4
2
1
1
1
1
1
1
1
4
1
1
1
2
1
1
1
3
1
1
3
1
1
1
1
2
1
1
1
1
2
1
1
1
10
1
3
1
2
2
1
1
1
2
1
1
1
1
1
1
4
19
1
1
2
5
1
4
1
2
1
1
1
1
1
1
1
2
1
1
3
1
1
2
1
3
1
1
18
43
2
1
1
1
4
1
1
1
1
1
1
1
1
1
1
2
3
5
2
1
1
1
1
1
1
1
1
1
41
160
4
8
1
2
1
1
6
1
2
1
1
1
1
1
3
1
1
7
1
1
1
7
22
6
1
2
1
4
1
1
1
1
1
1
3
1
1
1
7
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
11
1
1
1
1
1
1
1
2
3
1
1
1
5
1
1
5
19
2
1
1
1
1
1
1
1
1
1
1
1
1
2
2
4
1
1
1
1
1
35
5
3
1
3
1
3
2
3
3
3
9
32
1
1
7
1
1
11
1
2
4
1
1
1
6
3
2
2
1
1
2
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
2
1
5
3
1
1
2
3
5
1
3
1
2
3
1
1
1
1
6
1
1
1
1
1
5
1
1
3
4
1
1
1
1
1
1
1
1
1
3
1
1
1
1
1
1
1
1
4
4
1
3
3
1
1
1
5
1
1
1
1
1
1
1
1
1
1
1
1
2
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
1
1
3
1
4
29
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
28
1
1
1
4
1
1
1
1
2
1
1
2
1
1
1
1
1
1
1
1
1
2
1
1
2
4
1
3
7
1
1
1
1
1
3
5
2
1
2
1
1
1
1
1
1
1
2
1
1
1
1
2
2
6
1
1
7
1
1
1
1
1
1
1
1
1
2
1
1
1
1
2
5
1
2
1
2
1
1
1
1
1
4
2
1
1
1
1
1
7
63
5
3
5
1
1
2
1
1
1
1
1
1
4
3
2
6
3
1
1
1
1
1
1
1
1
1
1
7
2
6
1
1
6
1
1
1
1
1
1
2
2
1
2
10
1
1
1
1
6
1
3
4
1
2
1
1
3
1
1
1
1
1
1
2
3
1
1
3
1
1
